mp_norm,mp_name_works,state,total_sanctioned_amount,number_of_works,average_work_amount,maximum_work_amount,allocated_amt,allocated_amount,is_allocation_matched,utilization_percentage,remaining_amount,utilization_alert,fund_utilization_score
anil baluni,ANIL BALUNI,Uttarakhand,600000.0,1,600000.0,600000.0,147000000.0,147000000.0,True,0.40816326530612246,146400000.0,NORMAL,15.0
anil firojiya,Shri Anil Firojiya,Madhya Pradesh,45115025.0,154,292954.7077922078,1208921.0,147000000.0,147000000.0,True,30.69049319727891,101884975.0,NORMAL,15.0
anil yeshwant desai,ANIL YESHWANT DESAI,Maharashtra,43500000.0,16,2718750.0,4000000.0,147000000.0,147000000.0,True,29.591836734693878,103500000.0,NORMAL,15.0
anita nagarsingh chouhan,ANITA NAGARSINGH CHOUHAN,Madhya Pradesh,41549960.0,83,500601.9277108434,2202571.0,147000000.0,147000000.0,True,28.26527891156463,105450040.0,NORMAL,15.0
anita subhadarshini,ANITA SUBHADARSHINI,Odisha,23600000.0,69,342028.9855072464,1000000.0,147000000.0,147000000.0,True,16.054421768707485,123400000.0,NORMAL,15.0
annpurna devi,Annpurna Devi,Jharkhand,25133350.0,84,299206.54761904763,549000.0,166665931.8,166665931.8,True,15.080076491073264,141532581.8,NORMAL,15.0
anoop pradhan balmiki,ANOOP PRADHAN BALMIKI,Uttar Pradesh,49082873.0,35,1402367.8,2495938.0,147000000.0,147000000.0,True,33.38970952380952,97917127.0,NORMAL,15.0
anto antony,Anto Antony,Kerala,36369804.0,104,349709.6538461539,2381380.0,147000000.0,147000000.0,True,24.74136326530612,110630196.0,NORMAL,15.0
anup sanjay dhotre,ANUP SANJAY DHOTRE,Maharashtra,51071749.0,53,963617.9056603773,1500000.0,147000000.0,147000000.0,True,34.74268639455783,95928251.0,NORMAL,15.0
anupriya patel,Smt Anupriya Patel,Uttar Pradesh,7543000.0,2,3771500.0,3907000.0,147000000.0,147000000.0,True,5.131292517006802,139457000.0,NORMAL,15.0
anurag sharma,Anurag Sharma,Uttar Pradesh,48155808.0,84,573283.4285714285,5599000.0,147000000.0,147000000.0,True,32.75905306122449,98844192.0,NORMAL,15.0
anurag singh thakur,Anurag Singh Thakur,Himachal Pradesh,1275000.0,7,182142.85714285713,500000.0,149570117.11,149570117.11,True,0.8524430044153222,148295117.11,NORMAL,15.0
aparajita sarangi,Smt Aparajita Sarangi,Odisha,50600000.0,169,299408.2840236686,1000000.0,147420861.41,147420861.41,True,34.323500430019635,96820861.41,NORMAL,15.0
appalanaidu kalisetti,Appalanaidu Kalisetti,Andhra Pradesh,23327865.0,40,583196.625,2650000.0,147000000.0,147000000.0,True,15.869295918367346,123672135.0,NORMAL,15.0
arjun ram meghwal,Shri Arjun Ram Meghwal,Rajasthan,43231947.0,36,1200887.4166666667,2500000.0,147000000.0,147000000.0,True,29.40948775510204,103768053.0,NORMAL,15.0
arun bharti,ARUN BHARTI,Bihar,32154475.0,65,494684.23076923075,1700000.0,194924621.11,194924621.11,True,16.495850968900722,162770146.11,NORMAL,15.0
arun govil,ARUN GOVIL,Uttar Pradesh,42921202.0,73,587961.6712328767,999800.0,147000000.0,147000000.0,True,29.198096598639456,104078798.0,NORMAL,15.0
arun kumar sagar,Shri Arun Kumar Sagar,Uttar Pradesh,97143000.0,4,24285750.0,40095000.0,147000000.0,147000000.0,True,66.08367346938776,49857000.0,NORMAL,15.0
arun nehru,ARUN NEHRU,Tamil Nadu,48869068.0,26,1879579.5384615385,7200000.0,147000000.0,147000000.0,True,33.24426394557823,98130932.0,NORMAL,15.0
aruna d k,ARUNA. D. K,Telangana,23193230.0,68,341076.9117647059,1000000.0,147000000.0,147000000.0,True,15.777707482993197,123806770.0,NORMAL,15.0
arup chakraborty,ARUP CHAKRABORTY,West Bengal,46514306.0,26,1789011.7692307692,7600000.0,147000000.0,147000000.0,True,31.642385034013603,100485694.0,NORMAL,15.0
arvind dharmapuri,Arvind Dharmapuri,Telangana,145142241.0,410,354005.46585365856,498000.0,281396355.11,281396355.11,True,51.579289626286304,136254114.11,NORMAL,15.0
arvind ganpat sawant,Arvind Ganpat Sawant,Maharashtra,26374739.0,17,1551455.2352941176,2500000.0,147000000.0,147000000.0,True,17.94199931972789,120625261.0,NORMAL,15.0
ashish dubey,ASHISH DUBEY,Madhya Pradesh,21736351.0,86,252748.26744186046,2185000.0,147000000.0,147000000.0,True,14.786633333333333,125263649.0,NORMAL,15.0
ashok kumar rawat,Ashok Kumar Rawat,Uttar Pradesh,96086705.0,3,32028901.666666668,47472048.0,147000000.0,147000000.0,True,65.36510544217687,50913295.0,NORMAL,15.0
ashok kumar yadav,Ashok Kumar Yadav,Bihar,36045663.0,70,514938.04285714286,981891.0,147000000.0,147000000.0,True,24.52085918367347,110954337.0,NORMAL,15.0
asit kumar mal,Asit Kumar Mal,West Bengal,157511184.0,135,1166749.5111111111,5832150.0,275694456.74,275694456.74,True,57.132517593033995,118183272.74000001,NORMAL,15.0
atul garg,ATUL GARG,Uttar Pradesh,25080158.0,26,964621.4615384615,2710582.0,155336470.0,155336470.0,True,16.145698431282753,130256312.0,NORMAL,15.0
avimanyu sethi,AVIMANYU SETHI,Odisha,19250000.0,49,392857.14285714284,1000000.0,147000000.0,147000000.0,True,13.095238095238097,127750000.0,NORMAL,15.0
awadhesh prasad,AWADHESH PRASAD,Uttar Pradesh,47570075.0,34,1399119.8529411764,2970796.0,147000000.0,147000000.0,True,32.360595238095236,99429925.0,NORMAL,15.0
azad kirti jha,AZAD KIRTI JHA,West Bengal,48088472.0,43,1118336.558139535,10000000.0,179658399.98,179658399.98,True,26.76661486763398,131569927.97999999,NORMAL,15.0
b k parthasarathi,B K PARTHASARATHI,Andhra Pradesh,42749593.0,51,838227.3137254902,8000000.0,160491894.11,160491894.11,True,26.636605690938964,117742301.11000001,NORMAL,15.0
b y raghavendra,Shri B Y Raghavendra,Karnataka,45811295.0,110,416466.3181818182,1920000.0,147000000.0,147000000.0,True,31.1641462585034,101188705.0,NORMAL,15.0
babu singh kushwaha,BABU SINGH KUSHWAHA,Uttar Pradesh,33625655.0,537,62617.60707635009,1533000.0,147000000.0,147000000.0,True,22.87459523809524,113374345.0,NORMAL,15.0
bachhav shobha dinesh,BACHHAV SHOBHA DINESH,Maharashtra,40230794.0,40,1005769.85,1500000.0,147000000.0,147000000.0,True,27.367887074829934,106769206.0,NORMAL,15.0
