state,ida,total_works,total_sanction_amount,mean_work_amount,mean_risk_score,critical_high_count,critical_pct,state_avg_risk,risk_variance_vs_state,geographic_risk_score,geographic_reason
Rajasthan,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),12,3140286.0,261690.5,33.800000000000004,0,0.0,26.282744282744282,7.517255717255722,40.0,District and IDA parameters match regional baseline standards.
Rajasthan,JALORE(DISTRICT COLLECTOR JALORE_IDA),26,18861990.0,725461.1538461539,20.99230769230769,0,0.0,26.282744282744282,-5.290436590436592,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,JHALAWAR(DISTRICT COLLECTOR JHALAWAR_IDA),1,1100000.0,1100000.0,30.6,0,0.0,26.282744282744282,4.317255717255719,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),50,27375994.0,547519.88,19.642,0,0.0,26.282744282744282,-6.640744282744283,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,Jaipur Gramin(DISTRICT COLLECTOR Jaipur Gramin_IDA),2,3000000.0,1500000.0,31.85,0,0.0,26.282744282744282,5.567255717255719,40.0,District and IDA parameters match regional baseline standards.
Rajasthan,KOTA(DISTRICT COLLECTOR KOTA_IDA),16,13595169.0,849698.0625,28.53125,0,0.0,26.282744282744282,2.2485057172557177,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,Kekri(DISTRICT COLLECTOR Kekri_IDA),13,7382028.0,567848.3076923077,29.77692307692308,0,0.0,26.282744282744282,3.494178794178797,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,Khairthal-Tijara(DISTRICT COLLECTOR KHAIRTHAL TIJARA_IDA),5,6713652.0,1342730.4,36.36,0,0.0,26.282744282744282,10.077255717255717,40.0,IDA average risk (36.4) is significantly higher than state baseline (26.3).
Rajasthan,Kotputli-Behror(DISTRICT COLLECTOR Kotputli Behror_IDA),2,2500000.0,1250000.0,27.2,0,0.0,26.282744282744282,0.917255717255717,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA),167,51238638.0,306818.19161676645,17.194610778443113,0,0.0,26.282744282744282,-9.088133504301169,30.0,Unusually high project concentration (167 works sanctioned).
Rajasthan,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),17,9146872.0,538051.2941176471,27.423529411764704,0,0.0,26.282744282744282,1.140785129020422,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,PALI(DISTRICT COLLECTOR PALI_IDA),8,8155790.0,1019473.75,29.8625,0,0.0,26.282744282744282,3.5797557172557184,20.0,District and IDA parameters match regional baseline standards.
