work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
"WS/MP18258/2026-2027/183797-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,Normal/Others,"Construction of cement concrete road from Ghanshtha Atta Chakki to Shri Padgelwar house to Shri Nitin Jadhav house at vitthal Mandir Ward No. 15, Chandrapur.",2025-03-20,2026-08-03,1500000.0,501,Physical Inspection,25.6,15.0,100.0,0.0,15.0,7.68,2.25,15.0,0.0,1.5,29.74,100.0,73.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 501 days.,85.0,70.0,71.9,8.5,7.0,41.93,100.0,73.9,73.9,Recommendation-to-sanction approval delay of 501 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP021/2025-2026/192499-Construction of rooms and halls in school and colleges,Uttarakhand,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,Normal/Others,janpad nainital antargat Rajkiya Inter College jangaliya Gaon vikaskhand Bhimtal Mein kaksh Nirman Karya hetu,2025-04-21,2025-08-20,250000.0,121,Sanction,21.4,15.0,45.0,100.00000000000004,15.0,6.42,2.25,6.75,10.0,1.5,34.81,100.00000000000004,73.9,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,80.0,70.0,73.9,8.0,7.0,41.92,100.00000000000004,73.9,73.9,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18024/2025-2026/154009-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,Normal/Others,"Construction of Road at Konwarpur Boliaghat Maz Gaon, 2 No Boliaghat, Konwarpur GP",2024-11-22,2025-12-16,200000.0,389,Vendor Identification,35.5,15.0,100.0,0.0,15.0,10.65,2.25,15.0,0.0,1.5,33.7,100.0,73.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 389 days.,55.0,70.0,73.5,5.5,7.0,41.9,100.0,73.9,73.9,Recommendation-to-sanction approval delay of 389 days. | High degree centrality and project volume concentration in agency network graph.
WS/MP643/2024-2025/146340-Installing tube-wells and borewells,Madhya Pradesh,Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA),Gyaneshwar Patil,KHANDWA,Normal/Others,nalkup khanan at various wards khandwa,2024-10-08,2025-02-19,300000.0,134,Vendor Identification,16.3,15.0,45.0,100.0,15.0,4.89,2.25,6.75,10.0,1.5,32.769999999999996,100.0,73.9,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,73.1,9.5,7.0,41.89,100.0,73.9,73.9,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP761/2026-2027/192599-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of community hall at Pembatla (V),2025-05-16,2026-08-17,100000.0,458,Sanction,35.6,15.0,100.0,0.0,15.0,10.68,2.25,15.0,0.0,1.5,33.74,100.0,73.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.5,8.0,4.5,41.93,100.0,73.9,73.9,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18263/2025-2026/167965-Construction of culverts and bridges,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Normal/Others,"Chikkamagaluru District, Tarikere Taluk Javur Village S.No.80.4 Construction of a bridge over a pit on the way .",2025-01-22,2026-02-09,500000.0,383,Work partially Completed,30.9,15.0,100.0,0.0,15.0,9.27,2.25,15.0,0.0,1.5,31.86,100.0,73.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 383 days.,70.0,70.0,72.7,7.0,7.0,42.019999999999996,100.0,73.9,73.9,Recommendation-to-sanction approval delay of 383 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP745/2026-2027/138567-Installing tube-wells and borewells,Tamil Nadu,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),K Subbarayan,TIRUPPUR,Normal/Others,"Supply of New Borewell at Ward no.11, K.P.S Street,Shastri Street, Tiruppur Corporation.",2024-09-03,2026-06-23,1000000.0,658,Physical Inspection,30.4,15.0,100.0,0.0,15.0,9.12,2.25,15.0,0.0,1.5,31.66,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 658 days.,70.0,70.0,72.7,7.0,7.0,41.87,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 658 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP761/2026-2027/192189-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of Mahila Bhavan at Allipur (V) Raikal (M),2025-05-16,2026-08-17,495000.0,458,Sanction,35.3,15.0,100.0,0.0,15.0,10.59,2.25,15.0,0.0,1.5,33.62,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.84,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP244/2026-2027/193062-Street lights,West Bengal,JALPAIGURI(DISTRICT MAGISTRATE JALPAIGURI_IDA),Dr Jayanta Kumar Roy,JALPAIGURI(SC),Normal/Others,solar street lights 62 nos. at Bahadur GP under Sadar Panchayat Samiti,2025-04-21,2026-06-18,2105768.0,423,Physical Inspection,43.6,15.0,100.0,0.0,15.0,13.08,2.25,15.0,0.0,1.5,36.94,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 423 days.,70.0,30.0,74.8,7.0,3.0,41.83,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 423 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/191976-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of community hall at komatikondapur (V),2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192250-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of community hall in Vanjari Colony, Mallapur (V) (M)",2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192586-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of community hall in SC colony at Thippannapeta (V),2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192180-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of community hall in munnurukapu wada, Mangela (V)",2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192016-Installation of multi-gym equipment,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Installation of multi gym equipment at Veldurthi (V) Jagtial rural (M),2025-05-16,2026-08-17,350000.0,458,Sanction,34.8,15.0,100.0,0.0,15.0,10.44,2.25,15.0,0.0,1.5,33.42,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.69,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192178-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of community hall in Gangaputra wada, Rechapalli (V)",2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192176-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of community hall in Yadava wada, Rangapeta (V)",2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192174-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of community hall in Yadava wada, Battapalli (V)",2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192585-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of community hall at Thippannapeta (V),2025-05-16,2026-08-17,495000.0,458,Sanction,35.3,15.0,100.0,0.0,15.0,10.59,2.25,15.0,0.0,1.5,33.62,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.84,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192003-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of community hall in SC wada, Ibrahimpatnam (V) (M)",2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18358/2025-2026/187870-Construction of community centers and community halls,Odisha,GANJAM(DISTRICT COLLECTOR GANJAM_IDA),ANITA SUBHADARSHINI,ASKA,Normal/Others,Construction of Kalyan Mandap,2025-03-29,2025-12-01,200000.0,247,Sanction,29.1,15.0,75.0,100.00000000000004,15.0,8.73,2.25,11.25,10.0,1.5,42.39,100.00000000000004,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 247 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,35.0,45.0,77.0,3.5,4.5,41.730000000000004,100.00000000000004,73.8,73.8,Recommendation-to-sanction approval delay of 247 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification.
WS/MP761/2026-2027/192018-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of community hall in Munnurukapu wada at Thatipalli (V) Jagtial (M),2025-05-16,2026-08-17,350000.0,458,Sanction,34.8,15.0,100.0,0.0,15.0,10.44,2.25,15.0,0.0,1.5,33.42,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.69,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192017-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of community hall in Padmashali wada, Morapalli (V) Jagtial rural (M)",2025-05-16,2026-08-17,300000.0,458,Sanction,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP761/2026-2027/192160-Construction of boundary walls of existing public and community buildings,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of compound wall to Navadurga Seva Samithi, Mothe (V) Jagtial (M)",2025-05-16,2026-08-17,495000.0,458,Sanction,35.3,15.0,100.0,0.0,15.0,10.59,2.25,15.0,0.0,1.5,33.62,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.4,8.0,4.5,41.84,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP300/2026-2027/160820-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Chancheli Mandira, GP-Nalipada Arjunpur",2024-12-22,2026-07-27,100000.0,582,Vendor Identification,46.8,15.0,100.0,0.0,15.0,14.04,2.25,15.0,0.0,1.5,38.22,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.79,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
"WS/MP351/2025-2026/163995-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Normal/Others,Adoor-Onnaparambu-Hadhad Palli Road -Tarring-Malapattam -Grama Panchayath-Ward-2,2025-01-07,2026-02-19,967852.0,408,Physical Inspection,21.5,15.0,100.0,0.0,15.0,6.45,2.25,15.0,0.0,1.5,28.1,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 408 days.,95.0,70.0,71.2,9.5,7.0,41.7,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 408 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP640/2026-2027/151612-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,SEONI(District Collector Seoni_IDA),Faggan Singh Kulaste,MANDLA(ST),Normal/Others,Construction of G.S.V. Road towards village Gurera Raiyat Shanti dham,2024-11-09,2026-07-16,1000000.0,614,Sanction,50.0,15.0,100.0,0.0,15.0,15.0,2.25,15.0,0.0,1.5,39.5,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 614 days.,35.0,45.0,75.8,3.5,4.5,41.75,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 614 days.
WS/MP770/2026-2027/180906-Construction of community centers and community halls,Telangana,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),Sanjay Kumar Bandi,KARIMNAGAR,Normal/Others,"Construction of Community Hall near H.No.4-5-432, Valmikinagar in Division No. 46 of Karimnagar Municipal Corporation",2025-03-11,2026-06-25,500000.0,471,Vendor Identification,34.9,15.0,100.0,0.0,15.0,10.47,2.25,15.0,0.0,1.5,33.46,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 471 days.,55.0,70.0,73.4,5.5,7.0,41.72,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 471 days. | High degree centrality and project volume concentration in agency network graph.
WS/MP18277/2025-2026/150713-Construction of common work sheds/ common covered sitting area,West Bengal,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,Normal/Others,Construction of stage with shed at Amrai Babu Para Durgamandir,2024-11-04,2026-01-20,861205.0,442,Sanction,43.5,15.0,100.0,0.0,15.0,13.05,2.25,15.0,0.0,1.5,36.9,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 442 days.,55.0,45.0,74.8,5.5,4.5,41.8,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 442 days.
WS/MP300/2026-2027/160821-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Shree Shree Balukeswar Dev Temple, GP-Nalipada Arjunpur",2024-12-22,2026-07-27,100000.0,582,Vendor Identification,46.8,15.0,100.0,0.0,15.0,14.04,2.25,15.0,0.0,1.5,38.22,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.79,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
WS/MP300/2026-2027/160805-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Mahadev Mandira, GP-Keranga",2024-12-22,2026-07-27,100000.0,582,Vendor Identification,46.8,15.0,100.0,0.0,15.0,14.04,2.25,15.0,0.0,1.5,38.22,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.79,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
WS/MP300/2026-2027/160804-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Mahimamani Dev Pitha, GP-Barasahi",2024-12-22,2026-07-27,100000.0,582,Vendor Identification,46.8,15.0,100.0,0.0,15.0,14.04,2.25,15.0,0.0,1.5,38.22,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.79,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
WS/MP300/2026-2027/160803-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Kedareswar Dev Temple, GP-Tangiapada",2024-12-22,2026-07-27,100000.0,582,Vendor Identification,46.8,15.0,100.0,0.0,15.0,14.04,2.25,15.0,0.0,1.5,38.22,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.79,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
"WS/MP18069/2026-2027/171746-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,Normal/Others,construction of road from maheshgarh connectivity road to upper suhadu GP Kandral,2025-02-14,2026-04-08,250000.0,418,Vendor Identification,51.4,15.0,100.0,0.0,15.0,15.42,2.25,15.0,0.0,1.5,40.06,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 418 days.,30.0,45.0,76.0,3.0,4.5,41.67,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 418 days.
WS/MP300/2026-2027/160802-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Krushna Mandira, GP-Tangiapada",2024-12-22,2026-07-27,100000.0,582,Vendor Identification,46.8,15.0,100.0,0.0,15.0,14.04,2.25,15.0,0.0,1.5,38.22,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.79,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
"WS/MP18305/2026-2027/184481-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,Normal/Others,"Purchase of Vehicle for Mobile Dispensary, FHC Kadalundi Nagaram Vallikkunnu GP",2025-03-20,2026-08-06,700000.0,504,Sanction,31.7,15.0,100.0,0.0,15.0,9.51,2.25,15.0,0.0,1.5,32.18,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 504 days.,65.0,70.0,72.9,6.5,7.0,41.76,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 504 days. | High degree centrality and project volume concentration in agency network graph.
WS/MP300/2026-2027/160801-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Maa Durga Temple, GP-Pubusahi",2024-12-22,2026-07-27,100000.0,582,Vendor Identification,46.8,15.0,100.0,0.0,15.0,14.04,2.25,15.0,0.0,1.5,38.22,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.79,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
WS/MP18105/2025-2026/185756-Construction of buildings for community cultural activities,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),ASHISH DUBEY,JABALPUR,Normal/Others,Construction of community hall for cultural activity rangmanch near Khair Mai.,2025-03-23,2025-11-06,205000.0,228,Sanction,20.6,15.0,75.0,100.0,15.0,6.18,2.25,11.25,10.0,1.5,38.99,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 228 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,50.0,55.0,75.6,5.0,5.5,41.68,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 228 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification.
WS/MP300/2026-2027/160175-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Begunia, Installation of Cold Drinking Water at Mahaveer Temple, Chadheibandha Village of Kunjuri GP located near Deuli GP",2024-12-22,2026-07-27,100000.0,582,Sanction,46.6,15.0,100.0,0.0,15.0,13.98,2.25,15.0,0.0,1.5,38.14,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.730000000000004,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
WS/MP300/2026-2027/160178-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Begunia, Installation of Cold Drinking Water at Saraswati Sishu Vidya Mandira, Dalatola Village of Kunjuri GP located near Deuli GP",2024-12-22,2026-07-27,100000.0,582,Sanction,46.6,15.0,100.0,0.0,15.0,13.98,2.25,15.0,0.0,1.5,38.14,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.,45.0,45.0,75.3,4.5,4.5,41.730000000000004,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 582 days.
"WS/MP18306/2026-2027/186115-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Normal/Others,"Construction of Thevar kadappuram Juma Masjid Avippuzha Road, Ward -1, Vettom Panchayath",2025-03-25,2026-05-15,900000.0,416,Sanction,31.8,15.0,100.0,0.0,15.0,9.54,2.25,15.0,0.0,1.5,32.22,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 416 days.,65.0,70.0,72.9,6.5,7.0,41.79,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 416 days. | High degree centrality and project volume concentration in agency network graph.
