node_id,label,type,work_count,total_amount,avg_risk,critical_count,degree_centrality,agency_network_score
IDA:North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),IDA,134,173966209.0,59.6,66,0.0037,70.0
IDA:SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA),SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA),IDA,56,15817152.0,57.0,39,0.0006,70.0
IDA:KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA),KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA),IDA,6,2996000.0,69.8,4,0.0006,55.0
IDA:Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA),Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA),IDA,33,45375679.0,50.2,2,0.0012,55.0
IDA:DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA),DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA),IDA,1,5000000.0,79.1,1,0.0006,55.0
IDA:TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),IDA,40,38480000.0,50.9,2,0.0018,55.0
IDA:SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),IDA,88,124885333.33,56.7,2,0.0025,55.0
IDA:PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA),PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA),IDA,7,3347140.0,60.5,2,0.0012,55.0
IDA:North Tripura(DISTRICT MAGISTRATE and COLLECTOR NORTH TRIPURA DISTRICT_IDA),North Tripura(DISTRICT MAGISTRATE and COLLECTOR NORTH TRIPURA DISTRICT_IDA),IDA,1,5807060.0,78.6,1,0.0006,55.0
IDA:JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),IDA,10,3450000.0,58.5,3,0.0006,55.0
IDA:SOUTH WEST(COMMISSIONER MCD SOUTH WEST),SOUTH WEST(COMMISSIONER MCD SOUTH WEST),IDA,5,5576614.0,51.8,2,0.0006,55.0
IDA:JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA),JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA),IDA,8,2561156.0,61.9,3,0.0006,55.0
IDA:JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),IDA,86,21736351.0,54.2,2,0.0006,55.0
IDA:THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA),THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA),IDA,18,11960640.0,54.0,3,0.0006,55.0
IDA:UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA),UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA),IDA,6,2000000.0,65.0,3,0.0006,55.0
IDA:GUNA(District Collector Guna_IDA),GUNA(District Collector Guna_IDA),IDA,15,13117434.0,50.9,4,0.0006,55.0
IDA:THANE(DISTRICT COLLECTOR THANE_IDA),THANE(DISTRICT COLLECTOR THANE_IDA),IDA,17,13997000.0,56.8,4,0.0006,55.0
IDA:BONGAIGAON(Deputy Commissioner Bongaigaon_IDA),BONGAIGAON(Deputy Commissioner Bongaigaon_IDA),IDA,17,16798000.0,53.2,2,0.0012,55.0
IDA:SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),IDA,46,11318986.0,54.2,3,0.0018,55.0
IDA:KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),IDA,48,21520000.0,50.4,2,0.0006,55.0
IDA:Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),IDA,54,32284226.0,54.6,2,0.0012,55.0
IDA:Beawar(DISTRICT COLLECTOR Beawar_IDA),Beawar(DISTRICT COLLECTOR Beawar_IDA),IDA,9,6999600.0,55.6,3,0.0018,55.0
IDA:KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA),KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA),IDA,12,10840286.0,57.2,3,0.0012,55.0
IDA:RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),IDA,24,17295548.0,52.0,4,0.0012,55.0
IDA:NEEMUCH(District Collector Neemuch_IDA),NEEMUCH(District Collector Neemuch_IDA),IDA,27,2944846.0,68.6,2,0.0006,55.0
