node_id,label,type,work_count,total_amount,avg_risk,critical_count,degree_centrality,agency_network_score
IDA:RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA),RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA),IDA,33,21516713.0,57.8,13,0.0006,70.0
IDA:Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),IDA,15,35986942.0,54.6,6,0.0006,70.0
IDA:HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),IDA,58,25034052.0,58.2,10,0.0012,70.0
IDA:BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),IDA,21,13623848.0,68.2,15,0.0018,70.0
IDA:BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),IDA,60,26863997.0,68.8,49,0.0006,70.0
IDA:SHAHDOL(District Collector Shahdol_IDA),SHAHDOL(District Collector Shahdol_IDA),IDA,82,84611931.0,62.0,66,0.0012,70.0
IDA:Sarangarh-Bilaigarh(Collector SB_IDA),Sarangarh-Bilaigarh(Collector SB_IDA),IDA,25,16367395.0,53.7,17,0.0018,70.0
IDA:TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),IDA,15,15349039.0,57.5,8,0.0006,70.0
IDA:SOUTH(COMMISSIONER SOUTH),SOUTH(COMMISSIONER SOUTH),IDA,29,14402393.0,52.1,15,0.0012,70.0
IDA:MOGA(Deputy Commissioner Moga),MOGA(Deputy Commissioner Moga),IDA,65,20585000.0,57.6,38,0.0006,70.0
IDA:RAISEN(DISTRICT COLLECTOR RAISEN_IDA),RAISEN(DISTRICT COLLECTOR RAISEN_IDA),IDA,43,19485000.0,60.8,29,0.0012,70.0
IDA:DHULE(DISTRICT COLLECTOR DHULE_IDA),DHULE(DISTRICT COLLECTOR DHULE_IDA),IDA,26,26230794.0,59.4,17,0.0006,70.0
IDA:CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA),CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA),IDA,37,23787000.0,51.4,8,0.0012,70.0
IDA:WARANGAL(District Collector Warangal_IDA),WARANGAL(District Collector Warangal_IDA),IDA,107,13664753.0,59.7,34,0.0012,70.0
