work_id_1,work_id_2,mp_name,constituency,state,description_1,description_2,similarity_score,sanction_amount_1,sanction_amount_2,sanction_date_1,sanction_date_2,days_difference,potential_split_work,audit_alert
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183006-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183007-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183177-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183178-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183179-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183180-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182985-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182983-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183243-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183514-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-06-24,36,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183504-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-06-24,36,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183505-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-06-24,36,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183506-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-06-24,36,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183507-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-06-24,36,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183508-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-06-24,36,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183509-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-06-24,36,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183510-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-06-24,36,True,Potentially Similar Work — Requires Human Verification
