work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,duplicate_similarity_score,similar_work_id,is_duplicate_flag,mp_allocated_limit,mp_total_sanctioned,mp_utilization_pct,work_status,anomaly_label,anomaly_score,risk_score,risk_level,shap_top_attribution,anomaly_reason
WS/MP18119/2025-2026/163396-Construction of community centers and community halls,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Open Stage  near Mahadeo Temple under grampanchayat Chaparala Ta chamorshi Dist Gadchiroli,2025-01-04,2025-09-11,500000.0,250,0.3754,WS/MP18119/2025-2026/163394-Construction of community centers and community halls,False,147000000.0,35887283.0,24.41,Sanction,1,0.049592468332209705,21.6,Low,state_Maharashtra (-1.3549),Standard project parameters within normal baseline limits.
WS/MP18119/2025-2026/163397-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library under grampanchayat porla Ta Gadchiroli Dist Gadchiroli,2025-01-04,2025-09-04,1000000.0,243,0.3292,WS/MP18119/2025-2026/163399-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Sanction,1,0.03851905632210828,22.1,Low,state_Maharashtra (-1.4036),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163398-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at Rani Durgavati School under nagarparishd Gadchiroli Dist Gadchiroli,2025-01-04,2025-10-27,700000.0,296,0.1766,WS/MP18119/2025-2026/163399-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.0621006902678804,13.5,Low,state_Maharashtra (-1.4836),Standard project parameters within normal baseline limits.
WS/MP18119/2025-2026/163399-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at Murmali Ta Gadchiroli Dist Gadchiroli,2025-01-04,2025-09-04,1000000.0,243,0.3292,WS/MP18119/2025-2026/163397-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.0636832462273893,17.8,Low,state_Maharashtra (-1.4478),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163400-Construction of community centers and community halls,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a meeting hall in front of hanuman temple at Kotgal Ta Gadchiroli Dist Gadchiroli,2025-01-04,2025-09-04,1000000.0,243,0.2435,WS/MP18119/2025-2026/163399-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Sanction,1,0.03851905632210828,19.6,Low,state_Maharashtra (-1.4036),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163401-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at grampanchayt Rangi Ta Dhanora Dist Gadchiroli,2025-01-04,2025-09-11,1200000.0,250,0.3807,WS/MP18119/2025-2026/163403-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.05625466279244812,20.6,Low,state_Maharashtra (-1.5055),"Sanction amount (₹ 1,200,000) is 4.0x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163402-Construction of community centers and community halls,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of an meeting hall at Tukum Post Heti Ta Dhanora Dist Gadchiroli,2025-01-04,2025-09-11,1000000.0,250,0.2905,WS/MP18119/2025-2026/163403-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.059928445956421994,17.3,Low,state_Maharashtra (-1.4898),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163403-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at Gatta Ta Dhanora Dist Gadchiroli,2025-01-04,2025-09-11,1000000.0,250,0.3807,WS/MP18119/2025-2026/163401-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Sanction,1,0.03503328207958745,24.3,Low,state_Maharashtra (-1.4201),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163404-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library in ward no.2 at Armori unader Nagarpanchayt armori  Dist Gadchiroli,2025-01-04,2025-09-04,1500000.0,243,0.2217,WS/MP18119/2025-2026/163407-Construction of community centers and community halls,False,147000000.0,35887283.0,24.41,Sanction,1,0.021424230002988986,21.9,Low,state_Maharashtra (-1.4422),"Sanction amount (₹ 1,500,000) is 5.0x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163406-Construction of community centers and community halls,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of an meeting hall  at Yengada Ta armori Dist Gadchiroli,2025-01-04,2025-09-04,500000.0,243,0.339,WS/MP18119/2025-2026/163407-Construction of community centers and community halls,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.07187766582871269,16.7,Low,state_Maharashtra (-1.4029),Standard project parameters within normal baseline limits.
WS/MP18119/2025-2026/163407-Construction of community centers and community halls,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,onstruction of an meeting hall on the hill in ward no.8 under nagarpanchayat armori  Ta armori Dist Gadchiroli,2025-01-04,2025-09-04,1000000.0,243,0.339,WS/MP18119/2025-2026/163406-Construction of community centers and community halls,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.0636832462273893,18.1,Low,state_Maharashtra (-1.4478),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163408-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,construction of a Laibrary at nagarpanchayat school (old colony) under nagarpanchayat Wadsa (Desaiganj) Dist Gadchiroli,2025-01-04,2025-09-04,1500000.0,243,0.0714,WS/MP18119/2025-2026/163407-Construction of community centers and community halls,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.04819764551528227,12.7,Low,state_Maharashtra (-1.4896),"Sanction amount (₹ 1,500,000) is 5.0x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163410-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at Chichtola under grampanchayat Shivani Ta Kurkheda Dist Gadchiroli,2025-01-04,2025-09-04,1000000.0,243,0.263,WS/MP18119/2025-2026/163411-Construction of community centers and community halls,False,147000000.0,35887283.0,24.41,Sanction,1,0.03851905632210828,20.1,Low,state_Maharashtra (-1.4036),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163411-Construction of community centers and community halls,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a meeting hall at budhhisht square Nanhi  Ta Kurkheda Dist Gadchiroli,2025-01-04,2025-09-04,1000000.0,243,0.263,WS/MP18119/2025-2026/163410-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Sanction,1,0.03851905632210828,20.1,Low,state_Maharashtra (-1.4036),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163413-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library near the cultural hall under nagapanchayt Mulchera Ta Mulchera Dist Gadchiroli,2025-01-04,2025-10-17,1000000.0,286,0.0711,WS/MP18119/2025-2026/163399-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Sanction,1,0.03447489774670792,15.1,Low,state_Maharashtra (-1.4004),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163414-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at nagar panchayat Bhamragad Ta Bhamragad Dist Gadchiroli,2025-01-04,2025-10-17,1000000.0,286,0.1285,WS/MP18119/2026-2027/163438-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.05893585653842137,12.6,Low,state_Maharashtra (-1.4737),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163417-Construction of public libraries and reading rooms,Maharashtra,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at Allapalli Ta Aheri Dist Gadchiroli,2025-01-04,2025-10-17,2000000.0,286,0.1004,WS/MP18119/2025-2026/163399-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Sanction,1,0.008719341194805608,20.4,Low,state_Maharashtra (-1.449),"Sanction amount (₹ 2,000,000) is 6.7x higher than the typical amount for work category 'Normal/Others'."
WS/  MP620/2024-2025/163420-Construction of community centers and community halls,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,"CONTINUE WORK OF CONSTRUCTION OF COMMUNITY BHAVAN OF DHARWAD ZILLA SAVITA SAMAJ (R) AT ARAVIND NAGAR, HUBLI CITY  WARD NO 55",2025-01-03,2025-01-21,1000000.0,18,0.1593,WS/  MP620/2025-2026/167962-Installing community drinking water plants,False,147000000.0,13261770.0,9.02,Physical Inspection,-1,-0.035142431494134874,36.3,Low,work_category_Normal/Others (-2.0692),Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP541/2025-2026/163421-Construction of footpaths and pedestrian ways,Assam,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,NOWGONG,Normal/Others,"Construction of road with Pavers Block at Pub Madhupur Namghar path byelane from Dilip Bora house to Dinamai Saikia House, Morongial, Nagaon",2025-01-03,2025-04-02,500000.0,89,0.2416,"WS/MP541/2025-2026/153744-Construction of roads, link roads, pathways or any other road with or without drainage system",False,98000000.0,42596000.0,43.47,Work Completed,1,0.02020786929034024,22.7,Low,state_Assam (-2.0092),Standard project parameters within normal baseline limits.
WS/MP352/2025-2026/163423-Construction of rooms and halls in school and colleges,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,Normal/Others,"Completion work of Govt.Boys HSS, North Paravur",2025-01-03,2025-10-31,1000000.0,301,0.1091,"WS/MP352/2024-2025/142706-Purchase of IT systems, including hardware and software for educational purposes",False,162177260.11,56619305.0,34.91,Physical Inspection,1,0.05636469008880829,12.4,Low,state_Kerala (-1.5718),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP541/2025-2026/163425-Lighting of public spaces,Assam,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,NOWGONG,Normal/Others,Installation of 13 nos. of Solar Street light at different locations of Nagaon,2025-01-03,2025-08-21,338000.0,230,0.2633,WS/MP541/2024-2025/172423-Street lights,False,98000000.0,42596000.0,43.47,Vendor Identification,1,0.025701832016712223,22.4,Low,state_Assam (-1.9785),Standard project parameters within normal baseline limits.
"WS/MP343/2024-2025/163427-Purchase of IT systems, including hardware and software for educational purposes",Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Dr Shashi Tharoor,THIRUVANANTHAPURAM,Normal/Others,"Purchase of computers for the department of communication and journalism, University of Kerala, Kariyavattom campus.",2025-01-03,2025-03-04,585550.0,60,0.0772,"WS/MP343/2024-2025/166605-Purchase of IT systems, including hardware and software for educational purposes",False,147000000.0,25434370.0,17.3,Physical Inspection,1,0.06695504650257489,9.7,Low,state_Kerala (-1.5206),Standard project parameters within normal baseline limits.
"WS/MP352/2025-2026/163429-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,Normal/Others,"Construction of NithyaSahayaMatha Rd, Ward 14, Puthenvelikkara GP",2025-01-03,2026-01-14,1000000.0,376,0.0437,"WS/MP352/2025-2026/169147-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",False,162177260.11,56619305.0,34.91,Physical Inspection,1,0.048376980023490834,11.9,Low,state_Kerala (-1.5498),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 376 days (> 1 year) between recommendation and approval."
WS/MP18119/2025-2026/163436-Construction of public libraries and reading rooms,Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at Mangli Ta Nagbhid Dist Chandrapur,2025-01-04,2026-03-20,1500000.0,440,0.4154,WS/MP18119/2026-2027/163438-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Work Completed,1,0.007616586732909825,30.1,Low,state_Maharashtra (-1.4354),"Sanction amount (₹ 1,500,000) is 5.0x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 440 days (> 1 year) between recommendation and approval."
WS/MP18119/2026-2027/163437-Construction of public libraries and reading rooms,Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at Vivekanand Vidyalaya Sathgaon Ta Chimur Dist Chandrapur,2025-01-04,2026-05-20,1500000.0,501,0.3775,WS/MP18119/2025-2026/163439-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.03698499216574813,23.9,Low,state_Maharashtra (-1.4484),"Sanction amount (₹ 1,500,000) is 5.0x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 501 days (> 1 year) between recommendation and approval."
WS/MP18119/2026-2027/163438-Construction of public libraries and reading rooms,Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of Library at Bothali under Nagar Panchayat Nagbhid Ta Nagbhid Dist Chandrapur,2025-01-04,2026-06-15,1500000.0,527,0.4154,WS/MP18119/2025-2026/163436-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.034257655827347744,25.5,Low,state_Maharashtra (-1.4484),"Sanction amount (₹ 1,500,000) is 5.0x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 527 days (> 1 year) between recommendation and approval."
WS/MP18119/2025-2026/163439-Construction of public libraries and reading rooms,Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Library at N.J. Raut Vidyalaya Adegaon Ta Chimur Dist Chandrapur,2025-01-04,2026-03-11,1500000.0,431,0.3775,WS/MP18119/2026-2027/163437-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Work Completed,1,0.007616586732909825,28.9,Low,state_Maharashtra (-1.436),"Sanction amount (₹ 1,500,000) is 5.0x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 431 days (> 1 year) between recommendation and approval."
WS/MP18272/2024-2025/163441-Lighting of public spaces,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),KALIPADA SAREN,JHARGRAM(ST),Normal/Others,Installation of 11 (eleven) nos. of solar Mini High Mast Light (Single pole 4 nos Arm Light) at different place of Ragra Gram Panchayat under Sankrail Panchayat Samity within Jhargram district.,2025-01-04,2025-03-03,3156302.0,58,0.301,WS/MP18272/2024-2025/163448-Lighting of public spaces,False,147000000.0,47724974.0,32.47,Physical Inspection,1,0.03199378583425072,22.4,Low,state_West Bengal (-0.9488),"Sanction amount (₹ 3,156,302) is 10.5x higher than the typical amount for work category 'Normal/Others'."
WS/MP18272/2024-2025/163442-Lighting of public spaces,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),KALIPADA SAREN,JHARGRAM(ST),Normal/Others,Installation of 10.5 mtr High Mast pole with 4 nos. 50 watt Solar Light at Kamarbandi Sadhu Ramchand Murmu Statue of Silda Gram Panchayat of Jhargram district.,2025-01-04,2025-02-21,294286.0,48,0.3914,WS/MP18272/2024-2025/163443-Lighting of public spaces,False,147000000.0,47724974.0,32.47,Physical Inspection,1,0.07501468062121519,17.7,Low,state_West Bengal (-1.0074),Standard project parameters within normal baseline limits.
WS/MP18272/2024-2025/163443-Lighting of public spaces,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),KALIPADA SAREN,JHARGRAM(ST),Normal/Others,Installation of 10.5 mtr High Mast pole with 4 nos. 50 watt Solar Light at Binpur Police Station of Binpur Gram Panchayat of Jhargram district.,2025-01-04,2025-02-21,294286.0,48,0.3914,WS/MP18272/2024-2025/163442-Lighting of public spaces,False,147000000.0,47724974.0,32.47,Physical Inspection,1,0.07501468062121519,17.7,Low,state_West Bengal (-1.0074),Standard project parameters within normal baseline limits.
WS/MP18272/2024-2025/163444-Lighting of public spaces,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),KALIPADA SAREN,JHARGRAM(ST),Normal/Others,Installation 12 mtr High Mast pole with 6 nos 50 watt Solar Light at 5 (five) nos different place of Bhelaidiha Gram Panchayat under Binpur II Panchayat Samity of Jhargram district.,2025-01-04,2025-02-21,1888436.0,48,0.5731,WS/MP18272/2024-2025/163448-Lighting of public spaces,False,147000000.0,47724974.0,32.47,Physical Inspection,1,0.04630296612057061,28.1,Low,state_West Bengal (-1.0359),"Sanction amount (₹ 1,888,436) is 6.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18272/2024-2025/163445-Street lights,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),KALIPADA SAREN,JHARGRAM(ST),Normal/Others,Installation of 6 mtr 10 (ten) nos. of 18 watt single arm Solar Street Light at different places of Bhelaidiha Gram Panchayat under Binpur II Panchayat Samity of Jhargram district.,2025-01-04,2025-02-21,340157.0,48,0.5178,WS/MP18272/2024-2025/163446-Street lights,False,147000000.0,47724974.0,32.47,Physical Inspection,1,0.07268710460217104,21.9,Low,state_West Bengal (-1.0078),Standard project parameters within normal baseline limits.
WS/MP18272/2024-2025/163446-Street lights,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),KALIPADA SAREN,JHARGRAM(ST),Normal/Others,Installation of 20 (twenty) nos. of 18 watt single arm Solar Street Light at different places of Radhanagar Gram Panchayat of Jhargram district.,2025-01-04,2025-02-21,680314.0,48,0.5178,WS/MP18272/2024-2025/163445-Street lights,False,147000000.0,47724974.0,32.47,Physical Inspection,1,0.07020088549429238,22.3,Low,state_West Bengal (-1.0424),Standard project parameters within normal baseline limits.
WS/MP18272/2024-2025/163447-Lighting of public spaces,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),KALIPADA SAREN,JHARGRAM(ST),Normal/Others,Installation of 9 mtr High Mast pole with 4 nos. 50 watt Solar Light at different places of Radhanagar GP under Jhargram Panchayat Samity.,2025-01-04,2025-02-21,574448.0,48,0.4626,WS/MP18272/2024-2025/163362-Lighting of public spaces,False,147000000.0,47724974.0,32.47,Physical Inspection,1,0.07227705128324902,20.3,Low,state_West Bengal (-1.0312),Standard project parameters within normal baseline limits.
WS/MP18272/2024-2025/163448-Lighting of public spaces,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),KALIPADA SAREN,JHARGRAM(ST),Normal/Others,Installation 12 mtr High Mast pole with 6 nos 50 watt Solar Light at 6 (six) nos different place of Andhari Gram Panchayat under Sankrail Panchayat Samity within Jhargram District.,2025-01-04,2025-02-21,2266804.0,48,0.5731,WS/MP18272/2024-2025/163444-Lighting of public spaces,False,147000000.0,47724974.0,32.47,Physical Inspection,1,0.03997401318288751,29.2,Low,state_West Bengal (-0.9889),"Sanction amount (₹ 2,266,804) is 7.6x higher than the typical amount for work category 'Normal/Others'."
WS/MP18311/2024-2025/163449-Street lights,Punjab,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,Normal/Others,Installation of 30 Solar Street lights at Village Bahlur Kalan,2025-01-12,2025-02-06,347460.0,25,0.1597,WS/MP18311/2025-2026/193283-Street lights,False,147000000.0,48751674.0,33.16,Vendor Identification,1,0.041023859534340845,16.6,Low,state_Punjab (-1.3974),Standard project parameters within normal baseline limits.
"WS/MP18404/2024-2025/163450-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),Normal/Others,"GRAM PANCHAYAT JOTHIMMA AHTAMALI VIKAS KHAND DHAMPUR MEIN ALI HASAN KE GHAR SE ZAFAR ADVOCATE KE GHAR KI OR C.C. ROAD AUR NAALI NIRMAAN KARYA. (PROVINCIAL CO-OPERATIVE NIRMAN EVAM VIKAS LTD., BIJNOR)",2025-01-03,2025-03-07,2068782.0,63,0.2397,"WS/MP18404/2024-2025/155440-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48615122.0,33.07,Physical Inspection,1,0.03131282254491441,20.7,Low,state_Uttar Pradesh (-0.885),"Sanction amount (₹ 2,068,782) is 6.9x higher than the typical amount for work category 'Normal/Others'."
WS/MP18057/2024-2025/163457-Fitting of Sitting RCC Benches in Public Places,Gujarat,SURAT(DISTRICT COLLECTOR SURAT_IDA),MUKESHKUMAR CHANDRAKAANT DALAL,SURAT,Normal/Others,"In Ward No. 11, a total of 58 benches will be installed at 14 locations for elders to sit.",2025-01-03,2025-03-28,273760.0,84,0.3491,WS/MP18057/2024-2025/163810-Fitting of Sitting RCC Benches in Public Places,False,147000000.0,17562952.0,11.95,Physical Inspection,1,0.08197666272212545,15.2,Low,state_Gujarat (-1.079),Standard project parameters within normal baseline limits.
WS/MP18057/2024-2025/163460-Fitting of Sitting RCC Benches in Public Places,Gujarat,SURAT(DISTRICT COLLECTOR SURAT_IDA),MUKESHKUMAR CHANDRAKAANT DALAL,SURAT,Normal/Others,"In Ward No. 02, a total of 111 benches will be installed at 30 locations for elders to sit.",2025-01-03,2025-03-28,523920.0,84,0.3443,WS/MP18057/2024-2025/163810-Fitting of Sitting RCC Benches in Public Places,False,147000000.0,17562952.0,11.95,Physical Inspection,1,0.0803940033438641,15.3,Low,state_Gujarat (-1.0609),Standard project parameters within normal baseline limits.
WS/MP18119/2025-2026/163469-Construction of community centers and community halls,Maharashtra,GONDIA(DISTRICT COLLECTOR GONDIA_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a meeting hall at Mata Chowk under Grampanchayat Tigaon Ta Amgaon Dist Gondia,2025-01-04,2025-07-29,599950.0,206,0.173,WS/MP18119/2025-2026/163470-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.06672721280569488,12.6,Low,state_Maharashtra (-1.4521),Standard project parameters within normal baseline limits.
WS/MP18119/2025-2026/163470-Construction of public libraries and reading rooms,Maharashtra,GONDIA(DISTRICT COLLECTOR GONDIA_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Reading room at Kumbhartoli Ta Amgaon Dist Gondiya,2025-01-04,2025-07-29,795506.0,206,0.4835,WS/MP18119/2025-2026/163471-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.0645090021607746,22.3,Low,state_Maharashtra (-1.4402),"Sanction amount (₹ 795,506) is 2.7x higher than the typical amount for work category 'Normal/Others'."
WS/MP18119/2025-2026/163471-Construction of public libraries and reading rooms,Maharashtra,GONDIA(DISTRICT COLLECTOR GONDIA_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Reading Room at Grampanchayt Sonekahri Ta Amgaon Dist Gondiya,2025-01-04,2025-08-11,800000.0,219,0.4835,WS/MP18119/2025-2026/163470-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.0645090021607746,22.3,Low,state_Maharashtra (-1.4411),"Sanction amount (₹ 800,000) is 2.7x higher than the typical amount for work category 'Normal/Others'."
"WS/MP18119/2025-2026/163473-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,GONDIA(DISTRICT COLLECTOR GONDIA_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a cc Road from Noorchand Naik house to Bhart Kirsaan House at grampanchayat Paladur Tekari Ta Deori Dist Gondiya,2025-01-04,2025-07-29,298168.0,206,0.168,WS/MP18119/2025-2026/163475-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Physical Inspection,1,0.06937162325490676,12.0,Low,state_Maharashtra (-1.4311),Standard project parameters within normal baseline limits.
WS/MP18119/2026-2027/163474-Construction of public libraries and reading rooms,Maharashtra,GONDIA(DISTRICT COLLECTOR GONDIA_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),Normal/Others,Construction of a Reading Room  at Grampanchayt Kakodi Ta Deori Dist Gondiya,2025-01-04,2026-04-03,800000.0,454,0.4143,WS/MP18119/2025-2026/163475-Construction of public libraries and reading rooms,False,147000000.0,35887283.0,24.41,Sanction,1,0.03150641117373121,25.9,Low,state_Maharashtra (-1.3577),"Sanction amount (₹ 800,000) is 2.7x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 454 days (> 1 year) between recommendation and approval."
