work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,duplicate_similarity_score,similar_work_id,is_duplicate_flag,mp_allocated_limit,mp_total_sanctioned,mp_utilization_pct,work_status,anomaly_label,anomaly_score,risk_score,risk_level,shap_top_attribution,anomaly_reason
"WS/  MP005/2025-2026/197005-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of CC Road Work at Vajabhai Galabbhai HOuse Area,2025-05-06,2025-07-10,147168.0,65,0.2284,"WS/  MP005/2025-2026/196994-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.07951090879030742,12.0,Low,state_Gujarat (-1.0971),Standard project parameters within normal baseline limits.
WS/MP18087/2025-2026/197007-Installing tube-wells and borewells,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),BASAVARAJ BOMMAI,HAVERI,Normal/Others,Hindu smashan avaranadalli rigging,2025-05-06,2025-06-25,300000.0,50,0.1318,WS/MP18087/2025-2026/196873-Installing tube-wells and borewells,False,147000000.0,30250000.0,20.58,Work partially Completed,1,0.03239333324702376,17.3,Low,state_Karnataka (-1.4518),Standard project parameters within normal baseline limits.
WS/MP18087/2025-2026/197008-Lighting of public spaces,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),BASAVARAJ BOMMAI,HAVERI,Normal/Others,Installing High mask,2025-05-06,2025-06-30,200000.0,55,0.0,,False,147000000.0,30250000.0,20.58,Vendor Identification,1,0.03815317841402105,12.3,Low,state_Karnataka (-1.5731),Standard project parameters within normal baseline limits.
WS/MP18169/2025-2026/197009-Construction of boundary walls of existing public and community buildings,Rajasthan,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,Repair and Renovation,gram koronaa ka wada me samudayik bhavan me khidki darwaaje evm savardhan ka karya,2025-06-18,2025-07-31,499936.0,43,0.0946,WS/MP18169/2025-2026/188774-Construction of buildings for community cultural activities,False,183892143.0,24886377.0,13.53,Physical Inspection,-1,-0.040173714130489646,31.7,Low,work_category_Normal/Others (-2.1552),Overall project pattern is anomalous compared with national baseline records.
WS/MP18044/2025-2026/197010-Installing hand pumps,Bihar,SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA),DEVESH CHANDRA THAKUR,SITAMARHI,Repair and Renovation,1 hand pump install surrounding with cemented pad on government land near Naresh Paswan house at ward no. 06 village -Bathanaha,2025-05-06,2025-09-18,62788.0,135,0.4264,WS/MP18044/2025-2026/195427-Installing hand pumps,False,163809205.11,15817152.0,9.66,Sanction,-1,-0.04212116161272661,42.0,Medium,work_category_Normal/Others (-2.085),Overall project pattern is anomalous compared with national baseline records.
WS/MP18065/2025-2026/197011-Tree plantation for community,Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,"Tree Plantation and Other Work in Ground, PM Shri Govt. Sr. Sec. School Ladain",2025-05-09,2025-11-03,100000.0,178,0.0293,WS/MP18065/2026-2027/166181-Construction of community centers and community halls,False,147000000.0,49026600.0,33.35,Physical Inspection,1,0.04485630398499829,12.0,Low,state_Haryana (-2.0951),Standard project parameters within normal baseline limits.
"WS/MP18065/2025-2026/197012-Construction of roads, link roads, pathways or any other road with or without drainage system",Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,Const. of Street from House of Rajkumar Son of umed Singh to House of Karan Singh Son of Tindi,2025-05-09,2025-08-13,795452.0,96,0.0729,"WS/MP18065/2024-2025/159334-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,49026600.0,33.35,Physical Inspection,1,0.0470768628852648,13.0,Low,state_Haryana (-2.0984),"Sanction amount (₹ 795,452) is 2.7x higher than the typical amount for work category 'Normal/Others'."
WS/MP18065/2025-2026/197013-Creation of new ponds,Haryana,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,Const. of Gau Ghat on Bhedi wala pond,2025-05-09,2025-06-26,499973.0,48,0.0978,WS/MP18065/2024-2025/165525-Construction of shelters for animals,False,147000000.0,49026600.0,33.35,Physical Inspection,1,0.05078651843747278,13.1,Low,state_Haryana (-2.1477),Standard project parameters within normal baseline limits.
WS/MP18065/2025-2026/197014-Construction of community centers and community halls,Haryana,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,Const. of Bwall of Bhagirath Bhawan,2025-05-09,2025-05-14,600000.0,5,0.1757,WS/MP18065/2025-2026/175444-Construction of stadiums,False,147000000.0,49026600.0,33.35,Vendor Identification,1,0.005206505113278803,23.3,Low,state_Haryana (-2.1987),Standard project parameters within normal baseline limits.
WS/MP18065/2025-2026/197015-Construction of community centers and community halls,Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,Const. of Balmiki Choupal,2025-05-09,2025-08-13,1100000.0,96,0.392,WS/MP18065/2024-2025/135796-Construction of community centers and community halls,False,147000000.0,49026600.0,33.35,Work partially Completed,-1,-0.000581909412113446,30.8,Low,state_Haryana (-1.9878),"Sanction amount (₹ 1,100,000) is 3.7x higher than the typical amount for work category 'Normal/Others'."
WS/MP18065/2026-2027/197016-Construction of community centers and community halls,Haryana,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,Const. of Gazibo in Park at Shiva Ji Colony,2025-05-09,2026-07-29,500000.0,446,0.0392,WS/MP18065/2024-2025/152351-Development of playfields and sports grounds,False,147000000.0,49026600.0,33.35,Sanction,-1,-0.0128946839788035,22.3,Low,state_Haryana (-2.0684),Severe sanction delay of 446 days (> 1 year) between recommendation and approval.
"WS/MP18350/2025-2026/197017-Construction of roads, link roads, pathways or any other road with or without drainage system",Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Repair and Renovation,"Improvement of road from Beruanbari Harijan Sahi to Chakundapalli Road, Beruanbari G.P.",2025-05-06,2025-06-20,500000.0,45,0.1693,"WS/MP18350/2025-2026/197026-Construction of roads, link roads, pathways or any other road with or without drainage system",False,190712424.11,31625359.0,16.58,Physical Inspection,-1,-0.046618292793990046,35.1,Low,work_category_Normal/Others (-2.0212),Overall project pattern is anomalous compared with national baseline records.
"WS/MP18186/2025-2026/197020-Construction of roads, link roads, pathways or any other road with or without drainage system",Tamil Nadu,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),Sasikanth Senthil,TIRUVALLUR(SC),Normal/Others,"Construction of Compound wall at Tiruvalangadu Higher secondary school, Tiruvalangadu Block",2025-05-06,2025-09-18,1594278.0,135,0.1124,WS/MP18186/2025-2026/141740-Lighting of public spaces,False,171500000.0,43581288.0,25.41,Physical Inspection,1,0.06372455514840064,11.3,Low,state_Tamil Nadu (-1.0336),"Sanction amount (₹ 1,594,278) is 5.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18186/2025-2026/197021-Lighting of public spaces,Tamil Nadu,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),Sasikanth Senthil,TIRUVALLUR(SC),Normal/Others,Installation of High Mas Light at Mylapore  in Devandavakkam Panchayat at poondi,2025-05-06,2025-09-23,434216.0,140,0.226,WS/MP18186/2025-2026/180031-Lighting of public spaces,False,171500000.0,43581288.0,25.41,Physical Inspection,1,0.08457406768432585,11.1,Low,state_Tamil Nadu (-1.0475),Standard project parameters within normal baseline limits.
